symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
TROW,True,79.8552627141118,,24629946368.0,12.333691,2.2918494,5.545,0.0387,0.18688999,0.51999,0.37183997,1880349952.0,0.044800000000000006,4.0
HIG,True,67.85802932142857,,38975918080.0,10.00563,2.106464,1.792,0.23151,0.22735001,0.38172,0.15296,5603250176.0,0.017,4.0
INSW,True,66.89700802848522,,4522253824.0,8.319673,2.0609136,7.341,0.27805,0.26868,0.67706,0.61293,16583250.0,0.043899999999999995,4.0
G,True,60.40040952380953,,5147912704.0,9.315951,2.0797098,1.686,0.71021,0.23117,0.36305,0.15433,712050880.0,0.025,4.0
GNTX,True,59.26124849358661,,5068253696.0,13.370787,2.0255318,2.718,0.00432,0.15576,0.34429002,0.18829,265538848.0,0.020099999999999996,4.0
FOX,True,54.68120666186932,,20650713088.0,12.942105,1.8866042,2.896,0.67867,0.152,0.36843,0.21357,1406499968.0,0.0111,4.0
ASO,True,36.65156646206576,,2918584576.0,8.314488,1.4091086,1.677,0.91982,0.18847999,0.34604,0.05177,88252000.0,0.0123,4.0
CENT,False,0.0,"data_missing:dividend_yield,munger_roe",2689292032.0,15.62909,1.6264901,3.45,0.85846,0.10752,0.32231998,0.12599,237739872.0,,4.0
CE,False,0.0,"data_missing:trailing_pe,graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,munger_roe,munger_gross_margin",5192520704.0,,1.2780027,1.383,2.8773700000000004,-0.21109,0.20818001,0.08472,1022499968.0,0.0025,0.0
CCS,False,0.0,"data_missing:free_cash_flow,graham_size,munger_roe,munger_gross_margin",1992849792.0,15.601351,0.7805246,4.524,0.65629,0.052210003,0.18131,0.05092,,0.0189,4.0
CCOI,False,0.0,"data_missing:trailing_pe,data_missing:debt_to_equity,graham_size,graham_earnings_stability,munger_roe,munger_fcf",646001856.0,,-5.917431,1.903,,-8.77276,0.49601,-0.07481,-108703000.0,0.08310000000000001,0.0
CC,False,0.0,"data_missing:trailing_pe,graham_debt_to_equity,graham_earnings_stability,munger_roe,munger_gross_margin",2627098624.0,,12.216784,1.82,20.33796,-1.0301499,0.15204,0.029690001,216250000.0,0.0192,0.0
CBU,False,0.0,"data_missing:current_ratio,data_missing:debt_to_equity,data_missing:free_cash_flow,munger_roe,munger_gross_margin",3507515904.0,16.19903,1.7323815,,,0.11304,0.0,0.38186002,,0.027999999999999997,4.0
