symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2329799936.0,8.0697975,2.1627927,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
EXEL,False,93.44522507499758,graham_pe_times_pb,12499347456.0,15.863207,6.8095303,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.76345618678164,graham_size,1508485760.0,4.8445473,1.2298267,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",104614043648.0,15.047456,9.116984,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,87.8272875986801,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",6227105792.0,30.985811,25.378529,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0125,3.0
TDC,False,87.61760714285714,graham_current_ratio,2529600000.0,5.726316,4.307205,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
NFLX,False,87.07334894417225,"graham_current_ratio,graham_pe,graham_pe_times_pb",322505474048.0,24.355976,10.696313,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.37073381667972,"graham_current_ratio,graham_pe,graham_pe_times_pb",6577201152.0,33.006943,11.717719,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
FHI,False,85.25661694870824,graham_pe_times_pb,4672240640.0,11.63197,3.568659,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0229,4.0
NEM,False,85.2066164447683,"graham_earnings_stability,graham_pe_times_pb",121438035968.0,14.533418,3.463041,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0088,2.0
DECK,False,85.06805856265701,graham_pe_times_pb,12556648448.0,13.5,5.4773083,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
