symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2298329600.0,7.964224,2.1335783,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0088,3.0
EXEL,False,92.84717353625108,graham_pe_times_pb,13025884160.0,16.531446,7.096382,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.41974614757136,graham_size,1537384064.0,4.995305,1.2533867,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",103854817280.0,14.946796,9.050818,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,88.55178718455761,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5969651712.0,29.704731,24.329275,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0131,3.0
TDC,False,87.61760714285714,graham_current_ratio,2623529984.0,5.938947,4.4671416,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
NFLX,False,87.14045661668348,"graham_current_ratio,graham_pe,graham_pe_times_pb",321409482752.0,24.273207,10.659964,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.43216776661384,"graham_current_ratio,graham_pe,graham_pe_times_pb",6533987840.0,32.210938,11.435131,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
DECK,False,85.31617285152238,graham_pe_times_pb,12379611136.0,12.931009,5.400083,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5362067456.0,18.531252,9.564516,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0038,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16664662016.0,16.2807,6.278755,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0182,4.0
FHI,False,84.90868027589032,graham_pe_times_pb,4755486720.0,11.839219,3.6322424,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.022400000000000003,4.0
NEM,False,84.62288829459075,"graham_earnings_stability,graham_pe_times_pb",125473677312.0,15.016394,3.5781252,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0086,2.0
CARG,False,84.1383933319308,graham_pe_times_pb,3207090688.0,18.559278,12.167962,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",66152697856.0,5.2386866,2.0964653,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0167,2.0
APAM,False,83.4094443809524,graham_pe_times_pb,2926472960.0,9.884892,6.967546,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.0834,4.0
INCY,False,83.23609757250846,graham_pe_times_pb,25070813184.0,15.756141,3.918072,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
APA,False,82.66614999999999,graham_current_ratio,14550097920.0,8.52772,2.0742183,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.024,4.0
HRMY,True,82.58763442857142,,2244430592.0,12.472492,2.2416098,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
PRI,False,82.51435,graham_pe_times_pb,9602225152.0,12.69284,3.8208783,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.0155,4.0
PTC,False,82.49038959740822,"graham_current_ratio,graham_pe_times_pb",16064352256.0,14.359844,4.7241454,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
IDCC,False,81.71995730993665,"graham_pe,graham_pe_times_pb",8873653248.0,40.454117,7.3813457,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.008,4.0
ZTS,False,81.71163512576395,"graham_debt_to_equity,graham_pe_times_pb",30173587456.0,11.911908,9.314963,3.084,2.9399599999999997,0.64911,0.71738,0.40721,2016999936.0,0.0291,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",12144374784.0,14.639847,1809.2642,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8531886592.0,15.201299,4.192335,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0027,4.0
WH,False,81.3993343388636,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5383645696.0,26.28442,11.3351555,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.0236,4.0
NVDA,False,81.17965424778741,"graham_pe,graham_pe_times_pb",5355747147776.0,33.86217,27.400248,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0044,4.0
AMP,False,80.86739925824624,graham_pe_times_pb,49958375424.0,13.654023,7.8520026,2.182,0.67578,0.63432,0.54932,0.30719998,2903124992.0,0.0121,4.0
MU,False,80.78818681403422,"graham_earnings_stability,graham_pe,graham_pe_times_pb",1099090427904.0,22.012419,10.908133,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0005,2.0
BMY,False,79.89025002987248,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",133991866368.0,14.448238,6.004119,1.532,2.01859,0.46598998,0.71661,0.34418,8114375168.0,0.039,1.0
HLNE,False,79.79742778800419,graham_pe_times_pb,6634916864.0,15.067884,4.7264743,4.111,0.21558,0.32416,0.6066,0.45933998,231402752.0,0.023799999999999998,4.0
IT,False,79.69557142857143,"data_missing:debt_to_equity,graham_current_ratio,graham_pe_times_pb",11472274432.0,16.322552,-69.926865,0.88,,1.13581,0.69629997,0.22623,1052553024.0,,4.0
PLTR,False,79.54067435493842,"graham_earnings_stability,graham_pe,graham_pe_times_pb",418829041664.0,150.25,42.84415,7.228,0.02139,0.38097,0.84796,0.47120997,2159104512.0,,3.0
