symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2282905344.0,7.9073677,2.1192596,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
INVA,False,91.54711394217446,graham_size,1526547072.0,4.902552,1.2445517,16.007,0.26859,0.36676,0.7479845767854364,0.3980886299984441,110332496.0,,4.0
EXEL,False,91.38845941594911,graham_pe_times_pb,14517529600.0,18.424528,7.909017,3.456,0.08999,0.44393003,0.96483004,0.3759239799907419,739715136.0,,4.0
ADBE,False,91.378,"graham_current_ratio,graham_pe_times_pb",95201247232.0,13.364955,8.04177,0.77,0.5748,0.61902,0.8926753334174765,0.36627540073204595,9129875456.0,,4.0
DECK,False,91.02756448363726,graham_pe_times_pb,10903400448.0,11.389047,4.7561483,2.747,0.20521,0.42558,0.5770385958654284,0.23078119312259424,871420352.0,,4.0
PEGA,False,89.53107195042438,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5680190464.0,19.630682,10.131965,1.059,0.12851,0.54693,0.7586326591866708,0.15070351217656883,507401984.0,0.0034000000000000002,3.0
TDC,False,87.56232503650888,graham_current_ratio,2722109952.0,6.1621056,4.610175,0.915,0.16695000000000002,1.19116,0.5935057125676488,0.1232711966325917,348500000.0,,4.0
YOU,False,87.10107535795603,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5188462592.0,25.817566,21.145544,1.04,0.45141,1.19174,0.66656,0.207018591685641,418440384.0,0.0146,3.0
SNDK,False,86.79792224090717,"graham_earnings_stability,graham_pe,graham_pe_times_pb",276160872448.0,25.539608,17.858934,2.29,0.012769999999999998,0.9164,0.7147372580007902,0.61186290003951,7720875008.0,,1.0
PTC,False,86.6748658738406,"graham_current_ratio,graham_pe_times_pb",14874582016.0,13.296314,4.3742623,1.025,0.46335,0.35053003,0.8375515565345831,0.35863597965264643,1031425152.0,,4.0
QLYS,False,86.29784725187378,"graham_current_ratio,graham_pe,graham_pe_times_pb",6389004288.0,32.062496,11.382434,1.384,0.09498,0.38592,0.828480478236503,0.3317048384083691,244382624.0,,4.0
CARG,False,86.04540633830325,graham_pe_times_pb,2800915456.0,16.208763,11.920015,1.85,0.7003499999999999,0.53470004,0.9278186950098127,0.2695153145604093,241320752.0,,4.0
APAM,False,85.94305360289638,graham_pe_times_pb,2545221888.0,8.597122,6.059838,3.007,0.57111,0.64552003,0.45593,0.3339475285120265,291218624.0,0.0941,4.0
FHI,False,85.7304307100575,graham_pe_times_pb,4264595200.0,10.6171,3.2572994,2.592,0.32354,0.31137,0.69044,0.2853848832346752,371463872.0,0.0248,4.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16170827776.0,15.798244,6.092693,0.466,3.07831,0.41944,0.7846,0.424,1547124992.0,0.0171,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",57795743744.0,4.577809,1.8316225,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0178,2.0
NEM,False,83.64042997006852,"graham_earnings_stability,graham_pe_times_pb",132907474944.0,15.926136,3.7901144,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0085,2.0
APA,False,82.66614999999999,graham_current_ratio,14935485440.0,8.993671,2.129158,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.022799999999999997,4.0
PRI,False,82.51435,graham_pe_times_pb,8571491840.0,11.198231,3.4107332,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.0168,4.0
IDCC,False,82.33735105931069,"graham_pe,graham_pe_times_pb",8561401344.0,39.07656,7.121606,1.743,0.33401000000000003,0.26403,0.82498,0.5525715964341169,600847744.0,0.0092,4.0
AMP,False,82.29943674574139,graham_pe_times_pb,45475708928.0,12.4442835,7.152861,2.182,0.67578,0.63432,0.54932,0.30719998,2903124992.0,0.0127,4.0
TROW,True,81.81879755558789,,22105921536.0,10.404618,2.009151,4.039,0.03702,0.19399999,0.9985236428059223,0.2992289604637174,2023912448.0,0.049699999999999994,4.0
ZTS,False,81.78519368985422,"data_missing:price_to_book,graham_debt_to_equity",30041356288.0,11.859706,,3.084,2.9399599999999997,0.64911,0.71738,0.40721,2016999936.0,0.0297,4.0
NFLX,False,81.46990152810189,"graham_current_ratio,graham_pe,graham_pe_times_pb",298700210176.0,22.558176,9.90678,1.142,0.55236,0.49541,0.3634414152008206,0.29494704605507255,25387552768.0,,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8073129472.0,14.383929,3.9669144,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0028000000000000004,4.0
HLNE,False,81.01680097810865,graham_pe_times_pb,5820866560.0,13.219177,3.9605086,4.111,0.21558,0.32416,0.6066,0.45933998,231402752.0,0.027200000000000002,4.0
BMY,False,80.58044681942631,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",128149700608.0,13.818282,5.742334,1.532,2.01859,0.46598998,0.7231055082553272,0.34418,8114375168.0,0.04019999999999999,1.0
INCY,False,80.55461212797044,graham_pe_times_pb,25747173376.0,16.18121,4.023774,4.593,0.00603,0.30667,0.55659,0.2946484526501573,1180664576.0,,4.0
GDDY,False,79.75800471468102,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",12696432640.0,14.895988,1891.5094,0.632,573.3433,4.42861,0.63802,0.2276867766758902,1204950016.0,,4.0
WH,False,79.71342274767939,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5009250816.0,24.456522,10.546875,0.988,5.57292,0.39429,0.62835,0.2813156053184045,362375008.0,0.0256,4.0
RNR,False,79.39093333333334,"graham_current_ratio,graham_earnings_stability",13562744832.0,5.6608567,1.2328056,1.352,0.12211,0.21475,0.45349,0.41674,2787289856.0,0.005,3.0
NVDA,False,79.34336769413608,"graham_pe,graham_pe_times_pb",5533282598912.0,28.969646,24.164284,4.589,0.16971,1.17211,0.7106808435754708,0.6038168363141272,41809874944.0,0.0044,4.0
LVS,False,79.2779771507589,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",25781745664.0,15.428295,44.375698,0.997,17.03902,1.22869,0.79335,0.21648613351770762,2212875008.0,0.0298,4.0
NMIH,True,79.2073,,3230982912.0,8.455709,1.1967515,2.029,0.15753,0.15427,0.76384,0.76672995,329759616.0,,4.0
LULU,True,78.87019378953664,,11426116608.0,8.494453,2.4057715,2.19,0.44689,0.30898002,0.566005440167168,0.19910786662583538,1148515840.0,,4.0
SEZL,False,78.78302301365837,"graham_earnings_stability,graham_pe,graham_pe_times_pb",3782377728.0,24.631578,16.231215,4.017,0.52416,0.88851,0.74967,0.39262101941240873,100542000.0,,3.0
CNX,False,78.56619999999998,"graham_current_ratio,graham_earnings_stability",4889537024.0,5.356564,1.0168918,0.716,0.49137000000000003,0.21249,0.73616,0.62878,437116736.0,,1.0
