symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2296028416.0,7.95625,2.131442,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0086,3.0
EXEL,False,91.95622168189655,graham_pe_times_pb,13898075136.0,17.638365,7.571544,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.68497941272788,graham_size,1514987776.0,4.876744,1.2351277,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",108040495104.0,15.540308,9.415595,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,88.56894515389163,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5963812352.0,29.675674,24.305477,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0129,3.0
SNDK,False,88.53542880982886,"graham_earnings_stability,graham_pe,graham_pe_times_pb",221178347520.0,20.47973,16.227495,2.29,0.012769999999999998,0.9164,0.71474,0.78472,7720875008.0,,1.0
TDC,False,87.61760714285714,graham_current_ratio,2559127552.0,5.793158,4.357482,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
QLYS,False,86.99110011759673,"graham_current_ratio,graham_pe,graham_pe_times_pb",6165442048.0,30.394096,10.790139,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
NFLX,False,86.17537939902478,"graham_current_ratio,graham_pe,graham_pe_times_pb",337924521984.0,25.52044,11.2077055,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
DECK,False,85.79337659579296,graham_pe_times_pb,12052774912.0,12.589615,5.2575145,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5581548032.0,18.861113,9.956012,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0034999999999999996,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",17089658880.0,16.695906,6.4388814,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0172,4.0
FHI,False,84.57271548302423,graham_pe_times_pb,4838732800.0,12.046468,3.6958258,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0222,4.0
CARG,False,83.80481078921065,graham_pe_times_pb,3264988416.0,18.89433,12.38763,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",64997134336.0,5.148207,2.059844,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0166,2.0
APAM,False,83.4094443809524,graham_pe_times_pb,3030837504.0,10.412195,7.2160244,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.0805,4.0
NEM,False,82.87606645162306,"graham_earnings_stability,graham_pe_times_pb",139329732608.0,16.695707,3.9732573,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0079,2.0
APA,False,82.66614999999999,graham_current_ratio,14588637184.0,8.78481,2.0797124,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.0233,4.0
INCY,False,82.64704485987112,graham_pe_times_pb,26391244800.0,16.607141,4.1244297,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
HRMY,True,82.58763442857142,,2242683392.0,12.462783,2.2398648,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
PRI,False,82.51435,graham_pe_times_pb,9158569984.0,11.794492,3.644341,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.016,4.0
PTC,False,82.13807402401342,"graham_current_ratio,graham_pe_times_pb",16424863744.0,14.682104,4.8301635,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
IDCC,False,81.818990464901,"graham_pe,graham_pe_times_pb",8822041600.0,40.266193,7.3384137,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.008199999999999999,4.0
