symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2285019904.0,7.9215174,2.1212227,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
EXEL,False,93.17881607549987,graham_pe_times_pb,12728545280.0,16.154087,6.9343953,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.66763032650267,graham_size,1516432768.0,4.858796,1.2363057,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",101938880512.0,14.671054,8.883847,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
TDC,False,87.61760714285714,graham_current_ratio,2500770048.0,5.6610527,4.2581153,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
YOU,False,87.39856366405253,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",6390187008.0,31.797298,26.043165,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.011200000000000002,3.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",307132203008.0,23.19497,10.186439,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.43695838626428,"graham_current_ratio,graham_pe,graham_pe_times_pb",6530641920.0,32.194443,11.4292755,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
FHI,False,85.26297247356007,graham_pe_times_pb,4670747136.0,11.628253,3.5675185,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0229,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5178755584.0,17.897728,9.237536,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0036,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16913075200.0,16.718933,6.3723497,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0173,4.0
DECK,False,84.9068089281565,graham_pe_times_pb,12674445312.0,13.238976,5.5286922,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
NEM,False,84.59343616494908,"graham_earnings_stability,graham_pe_times_pb",125684416512.0,15.02267,3.5841348,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0089,2.0
CARG,False,84.06812398885447,graham_pe_times_pb,3219115520.0,18.628864,13.699772,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",65581236224.0,5.194472,2.0783548,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0165,2.0
INCY,False,83.53232810004796,graham_pe_times_pb,24455483392.0,15.369427,3.8219082,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
