symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2318855168.0,7.9605613,2.1520126,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0091,3.0
INVA,False,92.71083792856807,graham_size,1601649920.0,3.4664536,1.1937507,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",104796905472.0,15.073757,9.13292,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,89.87199396033996,graham_pe_times_pb,14060803072.0,18.523178,7.3315854,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,89.51081861669891,"graham_current_ratio,graham_pe,graham_pe_times_pb",4712387584.0,24.023338,8.307053,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
IDCC,False,88.40655849819284,"graham_pe,graham_pe_times_pb",6821278208.0,25.160152,6.1849413,1.878,0.36385,0.35902,0.84656996,0.40046,462150016.0,0.0108,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",302489370624.0,22.844337,10.032454,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",94089453568.0,11.260404,2.6831431,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.011399999999999999,2.0
PTC,False,86.84483111344903,"graham_current_ratio,graham_pe_times_pb",15020371968.0,12.503846,3.8911996,1.234,0.3578,0.344,0.84713,0.41625,986047232.0,,4.0
HLNE,False,86.23418317906065,graham_pe_times_pb,4903635968.0,14.915541,4.2158036,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.0268,4.0
FHI,False,86.06100323232828,graham_pe_times_pb,4609036800.0,11.78932,3.632149,3.276,0.35674,0.3376,0.68292,0.26376,364816384.0,0.0236,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5068604416.0,17.517046,9.041056,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0042,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16709279744.0,17.780254,6.393724,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0181,4.0
APAM,False,84.55270238095237,graham_pe_times_pb,2893330176.0,10.214286,6.544885,2.894,0.6023499999999999,0.72485,0.45791,0.3109,289936736.0,0.08410000000000001,4.0
CNX,False,82.83670000000001,"graham_current_ratio,graham_earnings_stability",4929079808.0,4.6453333,1.0688756,0.494,0.54827,0.28081,0.74815005,0.60716,408791136.0,,1.0
BMY,False,82.10150776399836,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",130365833216.0,17.882353,6.4957266,1.42,2.30967,0.38731998,0.71981,0.33040002,9851750400.0,0.039599999999999996,1.0
SNDK,False,81.69290995391258,"graham_earnings_stability,graham_pe,graham_pe_times_pb",149982347264.0,34.6013,10.879813,4.782,0.015029999999999998,0.39297,0.56038,0.69983,2259500032.0,,0.0
GPOR,False,81.66525854908507,"graham_current_ratio,graham_earnings_stability",2820110336.0,5.159024,1.5680735,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
NVDA,False,81.5098368984667,"graham_pe,graham_pe_times_pb",4646435815424.0,29.33257,23.771378,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0051,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8574823936.0,15.290211,4.4126716,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0028000000000000004,4.0
MU,False,81.2325167756176,"graham_earnings_stability,graham_pe_times_pb",875279679488.0,17.522043,8.68688,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0006,2.0
PRI,False,81.17429435714286,graham_pe_times_pb,10070563840.0,13.551826,4.016967,3.6,0.73789,0.32338002,0.71549004,0.30308,1071836864.0,0.0139,4.0
ALL,False,81.04129285714285,"graham_current_ratio,graham_earnings_stability",71228375040.0,6.1230364,2.411287,0.364,0.23719,0.45221,0.34428,0.18954,12428999680.0,0.0165,2.0
WH,False,80.65232822482574,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5633737216.0,27.505436,11.861719,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.0223,4.0
GDDY,False,80.57799957142858,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",13789161472.0,16.503962,58.21129,0.671,16.216179999999998,3.98215,0.6377,0.24681999,1347612544.0,,4.0
APA,False,80.46565,graham_current_ratio,12820365312.0,8.454546,1.9856564,0.919,0.61314,0.26217,0.72273004,0.38487998,1691250048.0,0.0286,4.0
DUOL,False,80.2731199504676,"graham_earnings_stability,graham_pe_times_pb",6533752320.0,16.044622,4.7198005,2.623,0.06601,0.36960998,0.72665,0.15369001,312465120.0,,3.0
CARG,False,79.99114408703838,graham_pe_times_pb,3351803392.0,19.560528,14.088325,1.653,0.7928000000000001,0.5848,0.92587,0.24545,219393744.0,,4.0
LOPE,False,79.70190883535588,graham_pe_times_pb,4158104320.0,19.627659,5.9493546,2.745,0.14964,0.29779,0.53256,0.30918,226362000.0,,4.0
ADSK,False,79.57794014498302,"graham_current_ratio,graham_pe,graham_pe_times_pb",51924840448.0,35.848396,16.271006,0.835,0.85419,0.50396,0.92434,0.29524,3060999936.0,,4.0
RNR,False,79.39093333333334,"graham_current_ratio,graham_earnings_stability",13901808640.0,5.8023763,1.2636253,1.352,0.12211,0.21475,0.45349,0.41674,2787289856.0,0.005,3.0
NMIH,True,79.25305,,3384547584.0,9.054877,1.2887268,1.814,0.16168,0.15571,0.76014,0.71973,313044992.0,,4.0
CPAY,False,79.09300000000002,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",25541804032.0,23.371712,7.3625555,0.977,2.7134300000000002,0.32124,0.79714996,0.41404,2095142784.0,,4.0
YOU,False,79.02508355748417,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",7526467072.0,45.048,31.162148,1.006,0.52083,1.09503,0.65484,0.24506001,341248864.0,0.0111,3.0
TROW,False,79.00343530637693,graham_pe_times_pb,25780557824.0,12.909872,2.3989155,5.545,0.0387,0.18688999,0.51999,0.37183997,1880349952.0,0.0436,4.0
IT,False,78.78528571428572,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",11059782656.0,16.33927,176.86296,0.939,52.9341,0.94878,0.68987,0.20499,1064192896.0,,4.0
RMD,False,78.6709157445876,"graham_pe,graham_pe_times_pb",30952132608.0,20.596527,4.7673097,3.008,0.12988,0.25246,0.62181,0.35327,1446655104.0,0.0118,4.0
ZTS,False,78.46685768443633,"graham_debt_to_equity,graham_pe_times_pb",33060329472.0,12.927869,10.059957,3.153,2.86236,0.67748,0.71839,0.36561,1780875008.0,0.0274,4.0
PRDO,True,78.39721342857142,,2138803840.0,13.019085,2.1389604,4.816,0.11725,0.17275,0.79887,0.28465998,193125504.0,0.0183,4.0
TDC,False,78.312271,"graham_current_ratio,graham_pe_times_pb",2857817088.0,6.949657,5.1474576,1.3,0.9928199999999999,1.17762,0.60745996,0.19143999,335375008.0,,4.0
GOOG,False,78.15038616525038,graham_pe_times_pb,4065719746560.0,16.688755,6.531751,2.724,0.18859,0.48676,0.60897,0.34033,22665000960.0,0.0027,4.0
GOOGL,False,78.14637324568096,graham_pe_times_pb,4077460389888.0,16.736948,6.550613,2.724,0.18859,0.48676,0.60897,0.34033,22665000960.0,0.0027,4.0
ESNT,False,77.76085,munger_roe,6310628352.0,9.74111,1.1188629,2.006,0.08701,0.12088,0.79097,0.63747,587141632.0,0.0208,4.0
GILD,False,77.70714746784444,graham_pe_times_pb,166649724928.0,18.261906,7.0894737,1.967,0.94635,0.4336,0.79367995,0.39282,7934125056.0,0.025099999999999997,4.0
ACT,False,77.60365000000002,"graham_current_ratio,munger_roe",6784596480.0,10.519481,1.2759924,0.966,0.13939000000000001,0.12926,0.73453003,0.72339,590830016.0,0.018500000000000003,4.0
BLKB,False,77.60276190476189,"graham_size,graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",1948899200.0,14.383051,56.050198,0.741,34.57183,4.18686,0.59236,0.18334,204560624.0,,1.0
BKE,False,77.39927690121604,graham_pe_times_pb,2324496128.0,10.348623,4.9773855,2.042,0.89539,0.48981997,0.58698004,0.20591,162151376.0,0.030699999999999998,4.0
V,False,77.27737531487499,"graham_current_ratio,graham_pe,graham_pe_times_pb",707648356352.0,32.441586,19.960573,1.088,0.6723300000000001,0.60349,0.97778,0.67346,20839749632.0,0.0074,4.0
TPL,False,77.1761,"graham_pe,graham_pe_times_pb,munger_fcf",27013836800.0,53.798073,17.36191,4.227,0.011559999999999999,0.36466,0.93242997,0.77222,-56057624.0,0.0062,4.0
VCTR,False,76.95467316882436,"graham_pe,graham_pe_times_pb",6139303936.0,22.062922,2.6023111,1.79,0.42876,0.21700001,0.56278,0.45848,450667616.0,0.0199,4.0
MEDP,False,76.84134170532512,"graham_current_ratio,graham_pe,graham_pe_times_pb",16094978048.0,33.90006,35.63686,0.732,0.33216,1.6215401,0.7235,0.20757,510396512.0,,4.0
MTG,False,76.74947292424059,munger_roe,6538222080.0,9.814285,1.3084607,4.849,0.12834,0.14114,0.93296,0.72616994,473081504.0,0.0227,4.0
INTU,False,76.2027196644663,"graham_current_ratio,graham_pe,graham_pe_times_pb",91163041792.0,20.321646,4.4309645,1.453,0.33448,0.22496,0.80793,0.46974,5232000000.0,0.015300000000000001,4.0
SEIC,False,76.17141102109946,graham_pe_times_pb,12477769728.0,18.335943,5.1080823,5.059,0.015149999999999999,0.27587998,0.78388,0.30706,376726240.0,0.0102,4.0
LVS,False,75.80720540159469,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",31826468864.0,18.61628,26.579966,0.997,17.03902,1.22869,0.79335,0.19658001,2212875008.0,0.025099999999999997,4.0
VRRM,False,75.75220597238352,"graham_size,graham_debt_to_equity",799788544.0,6.4207315,2.9396985,1.892,4.05085,0.45852003,0.56907004,0.2317,53916000.0,,4.0
LULU,True,75.74779285714285,,13544711168.0,9.666126,2.8283498,2.226,0.44264000000000003,0.32027,0.55695,0.11205,1133960960.0,,4.0
WDC,False,75.7116151913179,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",160085901312.0,27.76121,22.20631,1.49,0.17809999999999998,0.85920995,0.45428002,0.37008998,2075000064.0,0.0012,1.0
QCOM,False,75.64895668610457,graham_pe_times_pb,168081375232.0,17.147312,6.1910863,2.366,0.55979,0.36083,0.54799,0.22059,9589624832.0,0.0216,4.0
PLTR,False,75.53339525154857,"graham_earnings_stability,graham_pe,graham_pe_times_pb",299208507392.0,140.23596,35.40709,6.907,0.02477,0.32587,0.84073997,0.46183997,1752997120.0,,3.0
MCY,False,75.32044761904763,"graham_current_ratio,graham_earnings_stability,munger_gross_margin",6084440576.0,7.2412653,2.3491294,0.875,0.22674,0.38082,0.25234,0.15747,1573970304.0,0.0116,3.0
MANH,False,75.30487418732412,"graham_current_ratio,graham_pe,graham_pe_times_pb",12610046976.0,59.70168,61.45761,1.104,0.27140000000000003,0.96236,0.55995,0.2301,295047136.0,,4.0
ADEA,False,75.167095027113,"graham_earnings_stability,graham_pe,graham_pe_times_pb",2574256128.0,21.412844,5.515123,3.445,0.8581,0.28511,1.0,0.38946,171500496.0,0.0077,3.0
DOCS,False,74.80201137895644,"graham_pe,graham_pe_times_pb",3926715904.0,22.290815,4.2058144,6.093,0.010709999999999999,0.19282,0.89094,0.21582001,255263744.0,,4.0
LRCX,False,74.77593392238848,"graham_pe,graham_pe_times_pb",319220744192.0,48.344692,30.158318,2.536,0.35281999999999997,0.66762,0.49979,0.35042998,4352341504.0,0.0039000000000000003,4.0
