symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2257583872.0,7.7468243,2.09515,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0088,3.0
INVA,False,93.24190233993174,graham_size,1551459968.0,3.3578274,1.1563429,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",98556190720.0,14.1842165,8.589049,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,90.45473547525238,graham_pe_times_pb,13364549632.0,17.605959,6.968545,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,88.73377124668997,"graham_current_ratio,graham_pe,graham_pe_times_pb",5022297600.0,25.603231,8.853365,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",298138468352.0,22.515753,9.88815,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",98325299200.0,11.76734,2.8039365,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0109,2.0
IDCC,False,86.4892318379715,"graham_pe,graham_pe_times_pb",7691997184.0,28.34476,6.9744334,1.878,0.36385,0.35902,0.84656996,0.40046,462150016.0,0.010700000000000001,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",4974893568.0,17.193182,8.8739,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.004,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16421961728.0,17.474522,6.2837834,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0183,4.0
INCY,False,83.63218486486304,graham_pe_times_pb,24254812160.0,15.243313,4.595591,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
HLNE,False,83.45860478456575,graham_pe_times_pb,5968985088.0,15.043919,4.2520885,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.027000000000000003,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",10455081984.0,11.732541,44.136387,0.632,573.3433,4.42861,0.63802,0.27056998,1173849984.0,,4.0
GPOR,False,81.47306220897208,"graham_current_ratio,graham_earnings_stability",2862383872.0,5.234637,1.591579,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
NVDA,False,81.4484226006419,"graham_pe,graham_pe_times_pb",4763786149888.0,30.119446,24.371748,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0051,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8105702400.0,14.447828,4.171258,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0028000000000000004,4.0
PRI,False,81.17429435714286,graham_pe_times_pb,10069784576.0,13.5507765,4.016656,3.6,0.73789,0.32338002,0.71549004,0.30308,1071836864.0,0.0139,4.0
ALL,False,81.04129285714285,"graham_current_ratio,graham_earnings_stability",68649009152.0,5.9013057,2.3239682,0.364,0.23719,0.45221,0.34428,0.18954,12428999680.0,0.0163,2.0
SNDK,False,81.04043712312206,"graham_earnings_stability,graham_pe,graham_pe_times_pb",181409955840.0,41.79461,13.159592,4.782,0.015029999999999998,0.39297,0.56038,0.69983,2259500032.0,,0.0
DUOL,False,80.9396566280358,"graham_earnings_stability,graham_pe_times_pb",6188730368.0,15.197369,4.4705663,2.623,0.06601,0.36960998,0.72665,0.15369001,312465120.0,,3.0
WH,False,80.81494181875799,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5577336832.0,27.230072,11.742969,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.022099999999999998,4.0
CARG,False,80.65826835283731,graham_pe_times_pb,3220509184.0,18.794317,13.536468,1.653,0.7928000000000001,0.5848,0.92587,0.24545,219393744.0,,4.0
ADSK,False,80.39648773967201,"graham_current_ratio,graham_pe,graham_pe_times_pb",49192620032.0,33.962097,15.414846,0.835,0.85419,0.50396,0.92434,0.29524,3060999936.0,,4.0
TROW,True,80.25099862413258,,24129634304.0,12.083155,2.2452948,5.545,0.0387,0.18688999,0.51999,0.37183997,1880349952.0,0.0436,4.0
BMY,False,80.09739671239163,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",132183285760.0,14.25771,6.586284,1.532,2.01859,0.46598998,0.71661,0.34418,8114375168.0,0.038900000000000004,1.0
CROX,False,79.65452423809525,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",6231081984.0,11.126885,4.431722,1.49,1.21993,0.42299998,0.5747,0.24495001,536662496.0,,0.0
YOU,False,79.5583201858626,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",7188303872.0,43.024,29.762035,1.006,0.52083,1.09503,0.65484,0.24506001,341248864.0,0.010700000000000001,3.0
FTNT,False,79.44127004215285,"graham_current_ratio,graham_pe,graham_pe_times_pb",116784144384.0,56.524822,118.24925,1.282,0.32034999999999997,1.17442,0.80204004,0.33595002,2264987392.0,,4.0
RNR,False,79.39093333333334,"graham_current_ratio,graham_earnings_stability",13296813056.0,5.5508237,1.2086333,1.352,0.12211,0.21475,0.45349,0.41674,2787289856.0,0.0052,3.0
BLKB,False,79.15166666666667,"graham_size,graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",1862355584.0,12.821875,27.444815,0.828,17.27037,1.94448,0.59618,0.21651,213775680.0,,1.0
CPAY,False,79.09300000000002,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",25052571648.0,22.951496,7.2215314,0.977,2.7134300000000002,0.32124,0.79714996,0.41404,2095142784.0,,4.0
MU,False,79.0505,"data_missing:market_cap,graham_earnings_stability,graham_pe_times_pb",,18.670357,9.262456,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0006,2.0
RMD,False,78.87030101650227,"graham_pe,graham_pe_times_pb",30432829440.0,20.231438,4.6873255,3.008,0.12988,0.25246,0.62181,0.35327,1446655104.0,0.0115,4.0
IT,False,78.78528571428572,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",10134842368.0,14.958004,162.07173,0.939,52.9341,0.94878,0.68987,0.20499,1064192896.0,,4.0
MTG,False,78.50679999999998,munger_roe,6157847552.0,9.38125,1.2705803,4.964,0.12903,0.13923,0.92607003,0.80851996,518861888.0,0.0223,4.0
PRDO,False,78.39721342857142,graham_size,1997094784.0,12.156489,1.9972409,4.816,0.11725,0.17275,0.79887,0.28465998,193125504.0,0.018500000000000003,4.0
GILD,False,78.08452929235933,graham_pe_times_pb,161528250368.0,17.700682,6.8716,1.967,0.94635,0.4336,0.79367995,0.39282,7934125056.0,0.025,4.0
GOOG,False,78.07393450667118,graham_pe_times_pb,4301696008192.0,17.65738,6.910857,2.724,0.18859,0.48676,0.60897,0.34033,22665000960.0,0.0026,4.0
GOOGL,False,78.0728313901175,graham_pe_times_pb,4305301536768.0,17.672178,6.9166493,2.724,0.18859,0.48676,0.60897,0.34033,22665000960.0,0.0026,4.0
ESNT,False,77.76085,munger_roe,6087618048.0,9.39687,1.0793235,2.006,0.08701,0.12088,0.79097,0.63747,587141632.0,0.0206,4.0
ACT,False,77.60365000000002,"graham_current_ratio,munger_roe",6627545600.0,10.275974,1.2464556,0.966,0.13939000000000001,0.12926,0.73453003,0.72339,590830016.0,0.0183,4.0
