symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2301602048.0,7.7120786,2.136001,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0091,3.0
INVA,False,93.47069825249321,graham_size,1530793472.0,3.3451614,1.1409396,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",100829847552.0,14.461801,8.787196,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,89.84307430763735,graham_pe_times_pb,14097250304.0,18.571192,7.3505898,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,87.68716130647033,"graham_current_ratio,graham_pe,graham_pe_times_pb",5510405120.0,26.253355,9.713807,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",302864138240.0,22.380001,10.044883,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",103019495424.0,12.115242,2.9378004,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0111,2.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5179577856.0,17.406078,9.239002,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0039000000000000003,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16870894592.0,17.50621,6.4555655,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0182,4.0
FHI,False,84.12733242890505,graham_pe_times_pb,4758846464.0,11.10453,3.6348085,2.592,0.32354,0.31137,0.68708,0.26429,367401376.0,0.024,4.0
INCY,False,83.65919512066657,graham_pe_times_pb,24201097216.0,15.3464,3.7821527,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
DECK,False,83.58159869173531,graham_pe_times_pb,13733259264.0,13.967452,5.990555,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
PTC,False,83.45040793583671,"graham_current_ratio,graham_pe_times_pb",15157783552.0,13.304286,4.1801076,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
APAM,False,83.4094443809524,graham_pe_times_pb,3009538816.0,9.462053,6.467806,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.0882,4.0
IDCC,False,83.14675791004811,"graham_pe,graham_pe_times_pb",8183859200.0,36.747395,6.807556,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.0092,4.0
HLNE,False,82.14693752224338,graham_pe_times_pb,6651940352.0,15.704114,4.738601,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.027000000000000003,4.0
GPOR,False,81.67999482752728,"graham_current_ratio,graham_earnings_stability",2816920576.0,5.0764246,1.5662999,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",11189324800.0,12.2879,1666.9811,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8284968448.0,14.601365,4.2635098,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0028000000000000004,4.0
NVDA,False,81.28748115520298,"graham_pe,graham_pe_times_pb",5101426573312.0,31.342262,26.099133,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.005,4.0
PRI,False,81.17429435714286,graham_pe_times_pb,9955806208.0,13.505077,3.9711921,3.6,0.73789,0.32338002,0.71549004,0.30308,1071836864.0,0.013999999999999999,4.0
DUOL,False,81.07654266511759,"graham_earnings_stability,graham_pe_times_pb",6122335232.0,14.931817,4.422604,2.623,0.06601,0.36960998,0.72665,0.15369001,312465120.0,,3.0
ALL,False,81.04129285714285,"graham_current_ratio,graham_earnings_stability",67186864128.0,5.8038692,2.27447,0.364,0.23719,0.45221,0.34428,0.18954,12428999680.0,0.016399999999999998,2.0
MU,False,80.94592805998677,"graham_earnings_stability,graham_pe_times_pb",1007621963776.0,19.99059,10.000337,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0006,2.0
SNDK,False,80.61994044192215,"graham_earnings_stability,graham_pe,graham_pe_times_pb",209732861952.0,45.62677,15.214152,4.782,0.015029999999999998,0.39297,0.56038,0.69983,2259500032.0,,0.0
WH,False,80.57538321236757,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5660824064.0,27.438848,11.91875,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.022400000000000003,4.0
APA,False,80.46565,graham_current_ratio,12682512384.0,8.363637,1.9643053,0.919,0.61314,0.26217,0.72273004,0.38487998,1691250048.0,0.0268,4.0
ADSK,False,80.22153609491906,"graham_current_ratio,graham_pe,graham_pe_times_pb",49752154112.0,34.39854,15.590181,0.835,0.85419,0.50396,0.92434,0.29524,3060999936.0,,4.0
BMY,False,80.18316247379383,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",131448684544.0,14.142857,5.89016,1.532,2.01859,0.46598998,0.71661,0.34418,8114375168.0,0.038599999999999995,1.0
CARG,False,80.01981383556848,graham_pe_times_pb,3345941248.0,19.12371,14.0636835,1.653,0.7928000000000001,0.5848,0.92587,0.24545,219393744.0,,4.0
RNR,False,79.39093333333334,"graham_current_ratio,graham_earnings_stability",13406510080.0,5.5714903,1.2186043,1.352,0.12211,0.21475,0.45349,0.41674,2787289856.0,0.0051,3.0
CROX,False,79.36936736802755,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",6730050048.0,11.82561,4.879719,1.49,1.21993,0.42299998,0.5747,0.24221,533888736.0,,0.0
YOU,False,79.31196663453794,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",7340677632.0,43.935997,30.392914,1.006,0.52083,1.09503,0.65484,0.24506001,341248864.0,0.0109,3.0
NMIH,True,79.2073,,3359605248.0,8.740705,1.244393,2.029,0.15753,0.15427,0.76384,0.76672995,329759616.0,,4.0
