symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2296836608.0,7.8407645,2.1321924,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
EXEL,False,93.38534340406277,graham_pe_times_pb,12550142976.0,15.828125,6.837203,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.71977397172806,graham_size,1512098048.0,4.8561487,1.2327718,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",104262270976.0,14.340897,9.086328,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,87.89681047500198,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",6201441280.0,30.858107,25.273933,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0125,3.0
TDC,False,87.61760714285714,graham_current_ratio,2589120000.0,5.8610525,4.408551,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
NFLX,False,86.93228000840347,"graham_current_ratio,graham_pe,graham_pe_times_pb",324833935360.0,23.217619,10.77354,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.27850471582465,"graham_current_ratio,graham_pe,graham_pe_times_pb",6643160064.0,32.74913,11.626194,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5338228736.0,17.271276,9.521995,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0036,3.0
FHI,False,85.04296544604925,graham_pe_times_pb,4723009024.0,11.758364,3.6074362,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0229,4.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",17215363072.0,16.818714,6.486243,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0169,4.0
DECK,False,84.79670845830026,graham_pe_times_pb,12756154368.0,13.324324,5.564334,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
NEM,False,84.79569482297356,"graham_earnings_stability,graham_pe_times_pb",124251291648.0,14.888876,3.5432663,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0091,2.0
HRB,False,84.10428571428572,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",6709417984.0,9.302284,-275.6771,1.133,17.894190000000002,7.13542,0.60358,0.3291,624796864.0,0.0345,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",65643192320.0,5.10531,2.0803185,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0166,2.0
INCY,False,83.67966003827874,graham_pe_times_pb,24160557056.0,15.222861,3.7758172,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
CARG,False,83.42463764842594,graham_pe_times_pb,3333574912.0,19.291237,14.186884,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
APAM,False,83.4094443809524,graham_pe_times_pb,2992144640.0,9.893192,7.1239014,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.0828,4.0
APA,False,82.66614999999999,graham_current_ratio,14261059584.0,8.587554,2.0330138,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.025,4.0
HRMY,True,82.58763442857142,,2214438912.0,12.305826,2.2116559,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
PRI,False,82.51435,graham_pe_times_pb,9613613056.0,12.549618,3.8853645,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.0154,4.0
PTC,False,82.17992824679968,"graham_current_ratio,graham_pe_times_pb",16381191168.0,14.069899,4.8173203,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
IDCC,False,81.67772413904999,"graham_pe,graham_pe_times_pb",8895847424.0,40.555294,7.399807,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.008,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",12129050624.0,14.230311,1806.9811,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8582226432.0,15.143489,4.217071,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0027,4.0
ZTS,False,81.4104828991022,"graham_debt_to_equity,graham_pe_times_pb",30727309312.0,12.130506,9.485904,3.084,2.9399599999999997,0.64911,0.71738,0.40721,2016999936.0,0.027999999999999997,4.0
NVDA,False,81.13117307298933,"graham_pe,graham_pe_times_pb",5478547980288.0,34.63859,28.028502,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0045000000000000005,4.0
WH,False,81.06512452227814,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5492736000.0,26.817028,11.564843,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.0227,4.0
MU,False,80.79168292825555,"graham_earnings_stability,graham_pe,graham_pe_times_pb",1096883568640.0,21.08129,10.88623,3.425,0.0633,0.66638,0.72569,0.80370003,7639499776.0,0.0006,2.0
AMP,False,80.70572562369892,graham_pe_times_pb,50520600576.0,13.814359,7.9403677,2.182,0.67578,0.63432,0.54932,0.30719998,2903124992.0,0.011899999999999999,4.0
BMY,False,80.3762063769505,"graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",129824727040.0,13.9988985,5.8173914,1.532,2.01859,0.46598998,0.71661,0.34418,8114375168.0,0.039,1.0
IT,False,79.69557142857143,"data_missing:debt_to_equity,graham_current_ratio,graham_pe_times_pb",11198838784.0,15.933513,-68.2602,0.88,,1.13581,0.69629997,0.22623,1052553024.0,,4.0
CROX,False,79.53709523809525,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",6331147264.0,11.542833,4.590489,1.49,1.21993,0.42299998,0.5747,0.24221,533888736.0,,0.0
PLTR,False,79.52464403002124,"graham_earnings_stability,graham_pe,graham_pe_times_pb",424104230912.0,152.14241,43.383778,7.228,0.02139,0.38097,0.84796,0.47120997,2159104512.0,,3.0
