symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2298578176.0,7.9685206,2.133809,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0087,3.0
EXEL,False,93.03044941273883,graham_pe_times_pb,12859870208.0,16.320755,7.00594,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.62440268402547,graham_size,1520045184.0,4.881671,1.2392508,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",101211447296.0,14.566361,8.820452,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,88.19182950743875,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",6094847488.0,30.327702,24.839512,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.0127,3.0
TDC,False,87.61760714285714,graham_current_ratio,2558429952.0,5.791579,4.3562946,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
NFLX,False,87.3234667493067,"graham_current_ratio,graham_pe,graham_pe_times_pb",318458101760.0,24.050316,10.5620775,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
QLYS,False,86.6521694278413,"graham_current_ratio,graham_pe,graham_pe_times_pb",6383787008.0,31.415945,11.172265,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
DECK,False,85.39785494581467,graham_pe_times_pb,12322415616.0,12.871265,5.375134,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",5200950272.0,17.974432,9.277126,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0037,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16461143040.0,16.081871,6.202075,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0176,4.0
FHI,False,84.83385407188362,graham_pe_times_pb,4773778432.0,11.884758,3.6462135,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.0225,4.0
NEM,False,84.39575256596443,"graham_earnings_stability,graham_pe_times_pb",127117434880.0,15.213115,3.625,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0088,2.0
CARG,False,84.04999151337515,graham_pe_times_pb,3222233088.0,18.646906,12.225413,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",65853059072.0,5.2160025,2.0869694,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0165,2.0
APAM,False,83.4094443809524,graham_pe_times_pb,2939962112.0,9.930455,6.999662,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.08199999999999999,4.0
INCY,False,83.36365526090886,graham_pe_times_pb,24802095104.0,15.587261,3.876077,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
APA,False,82.66614999999999,graham_current_ratio,14206753792.0,8.5548525,2.0252721,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.024700000000000003,4.0
PTC,False,82.61714876295827,"graham_current_ratio,graham_pe_times_pb",15938485248.0,14.261165,4.687131,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
HRMY,True,82.58763442857142,,2204829952.0,12.252428,2.202059,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
PRI,False,82.51435,graham_pe_times_pb,9627770880.0,12.573152,3.8910866,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.015300000000000001,4.0
ZTS,False,81.93427190539866,"graham_debt_to_equity,graham_pe_times_pb",29776891904.0,11.755301,9.192498,3.084,2.9399599999999997,0.64911,0.71738,0.40721,2016999936.0,0.0287,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",11854541824.0,13.908247,1766.085,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
