symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2336516608.0,8.096551,2.169028,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0086,3.0
EXEL,False,92.04698266002191,graham_pe_times_pb,13803918336.0,17.518867,7.5202484,3.456,0.08999,0.44393003,0.96483004,0.39513,739715136.0,,4.0
INVA,False,91.57280359897297,graham_size,1524379776.0,4.8955917,1.2427847,16.007,0.26859,0.36676,0.72670996,0.43277,110332496.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",114294693888.0,16.449303,9.960641,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
YOU,False,88.84685458965743,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5870797824.0,29.212837,23.926397,1.04,0.45141,1.19174,0.66656,0.29865,418440384.0,0.013000000000000001,3.0
SNDK,False,88.27750316399043,"graham_earnings_stability,graham_pe,graham_pe_times_pb",227914350592.0,21.094864,14.7389,2.29,0.012769999999999998,0.9164,0.71474,0.78472,7720875008.0,,1.0
TDC,False,87.61760714285714,graham_current_ratio,2653289984.0,6.0063157,4.4936213,0.915,0.16695000000000002,1.19116,0.61325,0.11951,348500000.0,,4.0
QLYS,False,87.0213691944815,"graham_current_ratio,graham_pe,graham_pe_times_pb",6146666496.0,30.9,10.950693,1.384,0.09498,0.38592,0.83417,0.33979,244382624.0,,4.0
DECK,False,86.76276070391464,graham_pe_times_pb,11439276032.0,11.948791,4.9899015,2.747,0.20521,0.42558,0.57804,0.15233,871420352.0,,4.0
NFLX,False,86.21596804923128,"graham_current_ratio,graham_pe,graham_pe_times_pb",337195827200.0,25.46541,11.183538,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
FHI,False,85.320344664796,graham_pe_times_pb,4657308160.0,11.594795,3.5572538,2.592,0.32354,0.31137,0.69044,0.27722,371463872.0,0.022400000000000003,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5990916096.0,20.704544,10.686216,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0033,3.0
GEN,False,85.00000000000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",18152151040.0,17.733917,6.839197,0.466,3.07831,0.41944,0.78007007,0.35554,1547124992.0,0.0161,4.0
CARG,False,84.77579652653638,graham_pe_times_pb,3101984000.0,17.95103,13.201289,1.85,0.7003499999999999,0.53470004,0.92375,0.25275,241320752.0,,4.0
NEM,False,83.93002900204038,"graham_earnings_stability,graham_pe_times_pb",130626232320.0,15.633039,3.7250602,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0083,2.0
ALL,False,83.71084933333334,"graham_current_ratio,graham_earnings_stability",65237352448.0,5.1661997,2.0674567,0.363,0.22261,0.46113998,0.36800998,0.22827,15158625280.0,0.0168,2.0
APAM,False,83.4094443809524,graham_pe_times_pb,2978655488.0,10.0611515,7.0917854,3.007,0.57111,0.64552003,0.45593,0.27482998,291218624.0,0.08130000000000001,4.0
INCY,False,83.23759231300778,graham_pe_times_pb,25067630592.0,15.75414,3.9175746,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
APA,False,82.66614999999999,graham_current_ratio,15492544512.0,9.329115,2.2085707,0.946,0.48854,0.26659,0.78255,0.56331,2146749952.0,0.0232,4.0
IDCC,False,82.64625818610035,"graham_pe,graham_pe_times_pb",8413274624.0,38.310223,6.9983897,1.743,0.33401000000000003,0.26403,0.82498,0.53518003,600847744.0,0.0084,4.0
PRI,False,82.51435,graham_pe_times_pb,8909734912.0,11.63545,3.5453253,3.73,0.71521,0.32966,0.72097,0.31542,1038982144.0,0.0167,4.0
PTC,False,81.931586810805,"graham_current_ratio,graham_pe_times_pb",16643775488.0,14.877788,4.8945403,1.025,0.46335,0.35053003,0.84501,0.28232,1031425152.0,,4.0
HRMY,False,81.86280885214697,graham_pe_times_pb,2371385856.0,13.177995,2.3684058,3.479,0.16030999999999998,0.20456,0.75424004,0.34183997,182835504.0,,4.0
WH,False,81.74615999793158,"graham_current_ratio,graham_debt_to_equity,graham_pe,graham_pe_times_pb",5274926592.0,25.753624,11.10625,0.988,5.57292,0.39429,0.62835,0.47733003,362375008.0,0.023399999999999997,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",12886404096.0,15.118871,1919.8114,0.632,573.3433,4.42861,0.63802,0.27056998,1204950016.0,,4.0
