symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2262817536.0,7.7647834,2.100007,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0088,3.0
INVA,False,93.20971424878083,graham_size,1554412288.0,3.364217,1.1585433,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",97260298240.0,13.997711,8.476114,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,90.32558015854937,graham_pe_times_pb,13512849408.0,17.801325,7.0458713,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,88.89246429254042,"graham_current_ratio,graham_pe,graham_pe_times_pb",4955737600.0,25.263914,8.736032,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",298117267456.0,22.51415,9.887446,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",98520227840.0,11.7906685,2.8094952,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.0109,2.0
IDCC,False,86.46518213751098,"graham_pe,graham_pe_times_pb",7704332800.0,28.390219,6.985618,1.878,0.36385,0.35902,0.84656996,0.40046,462150016.0,0.010700000000000001,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",4887758848.0,16.892046,8.718474,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.004,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",16269325312.0,17.312101,6.2253776,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0183,4.0
INCY,False,83.61390665345247,graham_pe_times_pb,24291297280.0,15.266242,4.602504,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
HLNE,False,83.49889637752267,graham_pe_times_pb,5950219264.0,14.996621,4.2387204,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.027000000000000003,4.0
GDDY,False,81.59585628571429,"data_invalid_outlier:debt_to_equity,graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",10500762624.0,11.783804,44.329235,0.632,573.3433,4.42861,0.63802,0.27056998,1173849984.0,,4.0
GPOR,False,81.51181518611268,"graham_current_ratio,graham_earnings_stability",2853758464.0,5.218863,1.5867829,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
NVDA,False,81.44644353789896,"graham_pe,graham_pe_times_pb",4767666405376.0,30.14398,24.3916,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0051,4.0
