symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,97.8391,"graham_current_ratio,graham_earnings_stability",2291793664.0,7.871109,2.1268983,1.004,0.057460000000000004,0.38464,0.59559,0.47886002,449517504.0,0.0087,3.0
INVA,False,93.0980103911588,graham_size,1564745600.0,3.3865814,1.166245,21.134,0.24702000000000002,0.50725,0.74100995,0.40108,105171624.0,,4.0
ADBE,False,90.78355000000002,"graham_current_ratio,graham_pe_times_pb",97250361344.0,13.988279,8.475248,0.751,0.61443,0.62953997,0.89404,0.35327998,9218374656.0,,4.0
EXEL,False,90.0538667093437,graham_pe_times_pb,13835840512.0,18.22682,7.2142854,3.258,0.08757999999999999,0.40987,0.96444,0.41149,629119360.0,,4.0
QLYS,False,89.37306288526868,"graham_current_ratio,graham_pe,graham_pe_times_pb",4764508672.0,24.289047,8.3989315,1.43,0.09165,0.37724,0.83178,0.3502,237364256.0,,4.0
NFLX,False,87.39340952380952,"graham_current_ratio,graham_pe,graham_pe_times_pb",296139390976.0,22.36478,9.821848,1.142,0.55236,0.49541,0.49118,0.33381,25387552768.0,,4.0
NEM,False,87.0577,"graham_earnings_stability,graham_pe_times_pb",98320023552.0,11.766708,2.803786,2.546,0.15807000000000002,0.25905,0.68041,0.51569,8815875072.0,0.011399999999999999,2.0
IDCC,False,86.95707657383886,"graham_pe,graham_pe_times_pb",7459650560.0,27.488571,6.7637615,1.878,0.36385,0.35902,0.84656996,0.40046,462150016.0,0.010700000000000001,4.0
HLNE,False,86.45205674657629,graham_pe_times_pb,4835884544.0,14.709459,4.1575556,3.267,0.24308,0.32439,0.6053,0.42490003,305028384.0,0.0271,4.0
PTC,False,86.32247063168936,"graham_current_ratio,graham_pe_times_pb",15514161152.0,13.027643,4.019121,1.234,0.3578,0.344,0.84713,0.41625,986047232.0,,4.0
FHI,False,86.2729,graham_pe_times_pb,4496306688.0,11.500971,3.5433118,3.276,0.35674,0.3376,0.68292,0.26376,364816384.0,0.0233,4.0
PEGA,False,85.04549294285715,"graham_current_ratio,graham_earnings_stability,graham_pe_times_pb",4797336064.0,16.579546,8.557184,1.059,0.12851,0.54693,0.75573,0.046040002,507401984.0,0.0039000000000000003,3.0
GEN,False,84.90774775000001,"graham_current_ratio,graham_debt_to_equity,graham_pe_times_pb",15961058304.0,16.984076,6.107421,0.399,3.16354,0.39876997,0.7846,0.63367003,1422249984.0,0.0181,4.0
INCY,False,83.35638381577782,graham_pe_times_pb,24817258496.0,15.59679,4.7021585,4.593,0.00603,0.30667,0.55659,0.41899,1180664576.0,,4.0
BMY,False,82.19518958837091,"graham_current_ratio,graham_debt_to_equity,graham_earnings_stability,graham_pe_times_pb",129722580992.0,17.794119,6.4636755,1.42,2.30967,0.38731998,0.71981,0.33040002,9851750400.0,0.039900000000000005,1.0
GPOR,False,81.8151925274898,"graham_current_ratio,graham_earnings_stability",2787989504.0,5.0985866,1.5502132,0.559,0.45587000000000005,0.33986,0.69308,0.50863,146801504.0,,1.0
NVDA,False,81.47138642398062,"graham_pe,graham_pe_times_pb",4719219572736.0,29.79205,24.143744,3.441,0.06555,1.14288,0.74144995,0.65596,46335873024.0,0.0053,4.0
KNSL,False,81.42671666666666,"graham_current_ratio,graham_pe_times_pb",8012538880.0,14.281771,4.1233153,0.194,0.11033,0.30268,0.31142,0.40678,982102720.0,0.0027,4.0
DUOL,False,81.17931987455387,"graham_earnings_stability,graham_pe_times_pb",6073413120.0,14.897143,4.3872643,2.623,0.06601,0.36960998,0.72665,0.15369001,312465120.0,,3.0
PRI,False,81.17429435714286,graham_pe_times_pb,9972022272.0,13.41359,3.9776602,3.6,0.73789,0.32338002,0.71549004,0.30308,1071836864.0,0.0139,4.0
ALL,False,81.04129285714285,"graham_current_ratio,graham_earnings_stability",67484184576.0,5.801173,2.2845354,0.364,0.23719,0.45221,0.34428,0.18954,12428999680.0,0.015700000000000002,2.0
SNDK,False,80.99742096670354,"graham_earnings_stability,graham_pe,graham_pe_times_pb",183951179776.0,42.452496,13.343933,4.782,0.015029999999999998,0.39297,0.56038,0.69983,2259500032.0,,0.0
