symbol,buyable,score,fail_reasons,market_cap,trailing_pe,price_to_book,current_ratio,debt_to_equity,return_on_equity,gross_margin,operating_margin,free_cash_flow,dividend_yield,consecutive_positive_earnings_years
HCI,False,95.28161516666668,"graham_current_ratio,graham_earnings_stability",2196704000.0,7.6153517,2.0392375,0.865,0.05722000000000001,0.34974998,0.59726,0.45431,423198496.0,0.0089,3.0
INVA,False,91.88688562396533,graham_size,1498371456.0,4.812065,1.2215809,16.007,0.26859,0.36676,0.7479845767854364,0.3980886299984441,110332496.0,,4.0
EXEL,False,91.8549900224533,graham_pe_times_pb,14004621312.0,17.773584,7.6295896,3.456,0.08999,0.44393003,0.96483004,0.3759239799907419,739715136.0,,4.0
ADBE,False,91.378,"graham_current_ratio,graham_pe_times_pb",95441739776.0,13.398716,8.062084,0.77,0.5748,0.61902,0.8926753334174765,0.36627540073204595,9129875456.0,,4.0
DECK,False,91.04709242457784,graham_pe_times_pb,10762492928.0,11.306194,4.694683,2.747,0.20521,0.42558,0.5770385958654284,0.23078119312259424,871420352.0,,4.0
PEGA,False,89.53107195042438,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5799384576.0,20.042614,10.344575,1.059,0.12851,0.54693,0.7586326591866708,0.15070351217656883,507401984.0,0.0034999999999999996,3.0
TDC,False,87.56232503650888,graham_current_ratio,2719320064.0,6.1557894,4.6054497,0.915,0.16695000000000002,1.19116,0.5935057125676488,0.1232711966325917,348500000.0,,4.0
YOU,False,87.10107535795603,"graham_current_ratio,graham_earnings_stability,graham_pe,graham_pe_times_pb",5221730816.0,26.159864,21.28113,1.04,0.45141,1.19174,0.66656,0.207018591685641,418440384.0,0.0147,3.0
SNDK,False,87.0480311793582,"graham_earnings_stability,graham_pe,graham_pe_times_pb",266620223488.0,24.680672,17.241953,2.29,0.012769999999999998,0.9164,0.7147372580007902,0.61186290003951,7720875008.0,,1.0
QLYS,False,86.23994763601173,"graham_current_ratio,graham_pe,graham_pe_times_pb",6427923968.0,32.25781,11.451771,1.384,0.09498,0.38592,0.828480478236503,0.3317048384083691,244382624.0,,4.0
