symbol,sector,source_index
TRUP,Financials,600
TWO,Financials,600
UA,Consumer Discretionary,600
UAA,Consumer Discretionary,600
UCB,Financials,600
UCTT,Information Technology,600
UE,Real Estate,600
UFCS,Financials,600
UFPT,Health Care,600
UNF,Industrials,600
UNFI,Consumer Staples,600
UNIT,Communication Services,600
UPBD,Consumer Discretionary,600
UPWK,Industrials,600
URBN,Consumer Discretionary,600
USLM,Materials,600
USPH,Health Care,600
UTI,Consumer Discretionary,600
UTL,Utilities,600
UVV,Consumer Staples,600
VAC,Consumer Discretionary,600
VCEL,Health Care,600
VCTR,Financials,600
VCYT,Health Care,600
VECO,Information Technology,600
VGNT,Consumer Discretionary,600
VIR,Health Care,600
VIRT,Financials,600
VRRM,Industrials,600
VRTS,Financials,600
VSAT,Information Technology,600
VSEC,Industrials,600
VSH,Information Technology,600
VSNT,Communication Services,600
VSTS,Industrials,600
VSXY,Consumer Discretionary,600
VTOL,Energy,600
VYX,Information Technology,600
WABC,Financials,600
WAFD,Financials,600
WAY,Health Care,600
WD,Financials,600
WDFC,Consumer Staples,600
WEN,Consumer Discretionary,600
WERN,Industrials,600
WGO,Consumer Discretionary,600
WHD,Energy,600
WINA,Consumer Discretionary,600
WKC,Energy,600
WLY,Communication Services,600
WOR,Industrials,600
WRBY,Consumer Discretionary,600
WRLD,Financials,600
WS,Materials,600
WSBC,Financials,600
WSC,Industrials,600
WSFS,Financials,600
WSR,Real Estate,600
WT,Financials,600
WU,Financials,600
WWW,Consumer Discretionary,600
XHR,Real Estate,600
XNCR,Health Care,600
XPEL,Consumer Discretionary,600
YELP,Communication Services,600
YOU,Information Technology,600
ZD,Communication Services,600
ZWS,Industrials,600
